cell,dataset,partition,threat,strength,flip_rate,seed,arm,final_acc,delta_acc,gap,recovery,auroc,rounds_to_target,n_corrupt,n_excluded_pairs,false_excl_pairs,excl_precision,excl_clients,false_excl_clients
cifar10_dir1_frrand_g_seed2,cifar10,dir1,frrand,main,,2,random_excl,0.561625,-0.022374999999999923,0.03787499999999999,-0.5907590759075888,,,40,,,,,
cifar10_dir1_frrand_g_seed2,cifar10,dir1,frrand,main,,2,flirds_gate_v1,0.59125,0.00725000000000009,0.03787499999999999,0.19141914191419382,0.8333333333333334,,40,530.0,280.0,0.4716981132075472,97.0,58.0
cifar10_dir1_frrand_g_seed2,cifar10,dir1,frrand,main,,2,flirds_gate_v2,0.5915,0.007500000000000062,0.03787499999999999,0.1980198019801997,0.5320833333333332,,40,5584.0,2519.0,0.5488896848137536,68.0,29.0
cifar10_dir1_frrand_g_seed2,cifar10,dir1,frrand,main,,2,flirds_zgate_v2,0.5855,0.0015000000000000568,0.03787499999999999,0.03960396039604111,0.5333333333333333,,40,,,,,
cifar10_dir1_frrand_g_seed2,cifar10,dir1,frrand,main,,2,flirds_gatew_v2,0.5875,0.0035000000000000586,0.03787499999999999,0.09240924092409397,0.7345833333333334,90.0,40,4221.0,1245.0,0.7050461975835111,52.0,17.0
cifar10_dir1_frrand_g_seed2,cifar10,dir1,frrand,main,,2,flirds_gatew_v1,0.59175,0.007750000000000035,0.03787499999999999,0.20462046204620557,1.0,87.0,40,359.0,105.0,0.7075208913649025,85.0,45.0
cifar10_dir1_frrand_g_seed2,cifar10,dir1,frrand,main,,2,flirds_mult,0.595375,0.011375000000000024,0.03787499999999999,0.300330033003301,0.40291666666666665,112.0,40,,,,,
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,vanilla,0.26575,0.0,0.354625,0.0,,,40,,,,,
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,oracle_excl,0.620375,0.354625,0.354625,1.0,,75.0,40,,,,,
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,random_excl,0.241125,-0.02462499999999998,0.354625,-0.06943954881917512,,,40,,,,,
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,flirds_gate_v1,0.572375,0.306625,0.354625,0.8646457525555162,0.9987499999999999,,40,658.0,203.0,0.6914893617021277,99.0,59.0
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,flirds_gate_v2,0.537,0.27125000000000005,0.354625,0.7648924920690872,0.9891666666666666,,40,5288.0,1243.0,0.7649394856278366,56.0,16.0
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,flirds_zgate_v2,0.378875,0.11312500000000003,0.354625,0.31899894254494193,0.9966666666666666,,40,,,,,
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,flirds_gatew_v2,0.57825,0.31250000000000006,0.354625,0.8812125484666903,0.97875,,40,5774.0,1651.0,0.7140630412192588,65.0,25.0
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,flirds_gatew_v1,0.544875,0.279125,0.354625,0.7870990482904476,0.9995833333333333,,40,634.0,172.0,0.7287066246056783,97.0,57.0
cifar10_dir1_grad-noise_g_seed0,cifar10,dir1,grad_noise,main,,0,flirds_mult,0.462875,0.197125,0.354625,0.5558688755727881,0.9924999999999999,,40,,,,,
cifar10_dir1_grad-noise_g_seed1,cifar10,dir1,grad_noise,main,,1,vanilla,0.221375,0.0,0.39612500000000006,0.0,,,40,,,,,
cifar10_dir1_grad-noise_g_seed1,cifar10,dir1,grad_noise,main,,1,oracle_excl,0.6175,0.39612500000000006,0.39612500000000006,1.0,,79.0,40,,,,,
cifar10_dir1_grad-noise_g_seed1,cifar10,dir1,grad_noise,main,,1,random_excl,0.281875,0.0605,0.39612500000000006,0.15272956768696747,,,40,,,,,
cifar10_dir1_grad-noise_g_seed1,cifar10,dir1,grad_noise,main,,1,flirds_gate_v1,0.512875,0.2915,0.39612500000000006,0.735878826128116,0.9995833333333333,,40,652.0,194.0,0.7024539877300614,94.0,54.0
cifar10_dir1_grad-noise_g_seed1,cifar10,dir1,grad_noise,main,,1,flirds_gate_v2,0.58525,0.36387500000000006,0.39612500000000006,0.9185863048280215,0.995,,40,5654.0,1607.0,0.7157764414573753,58.0,18.0
cifar10_dir1_grad-noise_g_seed1,cifar10,dir1,grad_noise,main,,1,flirds_zgate_v2,0.32875,0.107375,0.39612500000000006,0.27106342694856417,0.9945833333333334,,40,,,,,
cifar10_dir1_grad-noise_g_seed1,cifar10,dir1,grad_noise,main,,1,flirds_gatew_v2,0.594375,0.373,0.39612500000000006,0.9416219627642788,0.9954166666666666,,40,5744.0,1766.0,0.6925487465181058,65.0,25.0
cifar10_dir1_grad-noise_g_seed1,cifar10,dir1,grad_noise,main,,1,flirds_gatew_v1,0.50575,0.28437500000000004,0.39612500000000006,0.7178920795203534,0.9983333333333333,,40,657.0,209.0,0.6818873668188736,94.0,54.0
cifar10_dir1_grad-noise_g_seed1,cifar10,dir1,grad_noise,main,,1,flirds_mult,0.44575,0.224375,0.39612500000000006,0.5664247396655095,0.9975,,40,,,,,
cifar10_dir1_grad-noise_g_seed2,cifar10,dir1,grad_noise,main,,2,vanilla,0.24375,0.0,0.379375,0.0,,,40,,,,,
cifar10_dir1_grad-noise_g_seed2,cifar10,dir1,grad_noise,main,,2,oracle_excl,0.623125,0.379375,0.379375,1.0,,81.0,40,,,,,
cifar10_dir1_grad-noise_g_seed2,cifar10,dir1,grad_noise,main,,2,random_excl,0.254125,0.010374999999999995,0.379375,0.027347611202635902,,,40,,,,,
cifar10_dir1_grad-noise_g_seed2,cifar10,dir1,grad_noise,main,,2,flirds_gate_v1,0.55325,0.3095,0.379375,0.8158154859967051,1.0,,40,690.0,215.0,0.6884057971014492,99.0,59.0
cifar10_dir1_grad-noise_g_seed2,cifar10,dir1,grad_noise,main,,2,flirds_gate_v2,0.578125,0.334375,0.379375,0.8813838550247116,0.99125,,40,5270.0,1231.0,0.7664136622390891,54.0,14.0
cifar10_dir1_grad-noise_g_seed2,cifar10,dir1,grad_noise,main,,2,flirds_zgate_v2,0.318,0.07425000000000001,0.379375,0.19571663920922572,1.0,,40,,,,,
cifar10_dir1_grad-noise_g_seed2,cifar10,dir1,grad_noise,main,,2,flirds_gatew_v2,0.589625,0.34587499999999993,0.379375,0.9116968698517296,0.9945833333333334,98.0,40,5469.0,1458.0,0.7334064728469556,63.0,23.0
cifar10_dir1_grad-noise_g_seed2,cifar10,dir1,grad_noise,main,,2,flirds_gatew_v1,0.503375,0.259625,0.379375,0.6843492586490939,1.0,,40,636.0,166.0,0.7389937106918238,95.0,55.0
cifar10_dir1_grad-noise_g_seed2,cifar10,dir1,grad_noise,main,,2,flirds_mult,0.4005,0.15675000000000003,0.379375,0.413179571663921,0.9908333333333332,,40,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed0,cifar10,dir1,label_flip,main,0.15,0,vanilla,0.622,0.0,0.005125000000000046,,,83.0,39,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed0,cifar10,dir1,label_flip,main,0.15,0,oracle_excl,0.627125,0.005125000000000046,0.005125000000000046,,,71.0,39,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed0,cifar10,dir1,label_flip,main,0.15,0,random_excl,0.606625,-0.015375000000000028,0.005125000000000046,,,79.0,39,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed0,cifar10,dir1,label_flip,main,0.15,0,flirds_gate_v1,0.6235,0.0015000000000000568,0.005125000000000046,,0.539302227826818,77.0,39,418.0,244.0,0.41626794258373206,93.0,56.0
cifar10_dir1_label-flip_fr0.15_g_seed0,cifar10,dir1,label_flip,main,0.15,0,flirds_gate_v2,0.615875,-0.006125000000000047,0.005125000000000046,,0.6048759983186212,79.0,39,2593.0,1025.0,0.6047049749325106,30.0,12.0
cifar10_dir1_label-flip_fr0.15_g_seed0,cifar10,dir1,label_flip,main,0.15,0,flirds_zgate_v2,0.61475,-0.007249999999999979,0.005125000000000046,,0.5350987810004204,86.0,39,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed0,cifar10,dir1,label_flip,main,0.15,0,flirds_gatew_v2,0.59775,-0.024249999999999994,0.005125000000000046,,0.4426229508196721,92.0,39,2984.0,1746.0,0.4148793565683646,40.0,24.0
cifar10_dir1_label-flip_fr0.15_g_seed0,cifar10,dir1,label_flip,main,0.15,0,flirds_gatew_v1,0.622375,0.0003750000000000142,0.005125000000000046,,0.5720891130727197,77.0,39,314.0,185.0,0.410828025477707,87.0,52.0
cifar10_dir1_label-flip_fr0.15_g_seed0,cifar10,dir1,label_flip,main,0.15,0,flirds_mult,0.624625,0.0026249999999999885,0.005125000000000046,,0.4434636401849517,77.0,39,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed1,cifar10,dir1,label_flip,main,0.15,1,vanilla,0.614125,0.0,0.007249999999999979,,,87.0,48,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed1,cifar10,dir1,label_flip,main,0.15,1,oracle_excl,0.621375,0.007249999999999979,0.007249999999999979,,,77.0,48,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed1,cifar10,dir1,label_flip,main,0.15,1,random_excl,0.596875,-0.017249999999999988,0.007249999999999979,,,111.0,48,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed1,cifar10,dir1,label_flip,main,0.15,1,flirds_gate_v1,0.61225,-0.001875000000000071,0.007249999999999979,,0.5348557692307692,90.0,48,421.0,219.0,0.47980997624703087,92.0,49.0
cifar10_dir1_label-flip_fr0.15_g_seed1,cifar10,dir1,label_flip,main,0.15,1,flirds_gate_v2,0.595125,-0.019000000000000017,0.007249999999999979,,0.4795673076923077,102.0,48,2960.0,1547.0,0.47736486486486485,38.0,21.0
cifar10_dir1_label-flip_fr0.15_g_seed1,cifar10,dir1,label_flip,main,0.15,1,flirds_zgate_v2,0.62,0.005874999999999964,0.007249999999999979,,0.5877403846153846,84.0,48,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed1,cifar10,dir1,label_flip,main,0.15,1,flirds_gatew_v2,0.588125,-0.026000000000000023,0.007249999999999979,,0.4318910256410256,110.0,48,2539.0,1270.0,0.4998030720756203,35.0,20.0
cifar10_dir1_label-flip_fr0.15_g_seed1,cifar10,dir1,label_flip,main,0.15,1,flirds_gatew_v1,0.612375,-0.0017500000000000293,0.007249999999999979,,0.5240384615384616,99.0,48,342.0,184.0,0.4619883040935672,92.0,46.0
cifar10_dir1_label-flip_fr0.15_g_seed1,cifar10,dir1,label_flip,main,0.15,1,flirds_mult,0.6165,0.002375000000000016,0.007249999999999979,,0.5556891025641026,87.0,48,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed2,cifar10,dir1,label_flip,main,0.15,2,vanilla,0.615625,0.0,0.006750000000000034,,,84.0,47,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed2,cifar10,dir1,label_flip,main,0.15,2,oracle_excl,0.622375,0.006750000000000034,0.006750000000000034,,,73.0,47,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed2,cifar10,dir1,label_flip,main,0.15,2,random_excl,0.573625,-0.041999999999999926,0.006750000000000034,,,,47,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed2,cifar10,dir1,label_flip,main,0.15,2,flirds_gate_v1,0.61225,-0.003375000000000017,0.006750000000000034,,0.5547972701726214,90.0,47,440.0,221.0,0.49772727272727274,98.0,52.0
cifar10_dir1_label-flip_fr0.15_g_seed2,cifar10,dir1,label_flip,main,0.15,2,flirds_gate_v2,0.58625,-0.02937499999999993,0.006750000000000034,,0.5704536330790847,97.0,47,3576.0,1751.0,0.5103467561521253,42.0,21.0
cifar10_dir1_label-flip_fr0.15_g_seed2,cifar10,dir1,label_flip,main,0.15,2,flirds_zgate_v2,0.609875,-0.005750000000000033,0.006750000000000034,,0.5921316740264954,87.0,47,,,,,
cifar10_dir1_label-flip_fr0.15_g_seed2,cifar10,dir1,label_flip,main,0.15,2,flirds_gatew_v2,0.593875,-0.021749999999999936,0.006750000000000034,,0.5150541951023686,107.0,47,2912.0,1343.0,0.538804945054945,44.0,21.0
cifar10_dir1_label-flip_fr0.15_g_seed2,cifar10,dir1,label_flip,main,0.15,2,flirds_gatew_v1,0.57325,-0.04237499999999994,0.006750000000000034,,0.5640305098354074,91.0,47,344.0,163.0,0.5261627906976745,89.0,44.0
cifar10_dir1_label-flip_fr0.15_g_seed2,cifar10,dir1,label_flip,main,0.15,2,flirds_mult,0.610375,-0.005249999999999977,0.006750000000000034,,0.5299076676033722,84.0,47,,,,,
cifar10_dir1_label-flip_fr0.35_g_seed0,cifar10,dir1,label_flip,main,0.35,0,vanilla,0.59875,0.0,0.02837500000000004,0.0,,100.0,39,,,,,
cifar10_dir1_label-flip_fr0.35_g_seed0,cifar10,dir1,label_flip,main,0.35,0,oracle_excl,0.627125,0.02837500000000004,0.02837500000000004,1.0,,71.0,39,,,,,
cifar10_dir1_label-flip_fr0.35_g_seed0,cifar10,dir1,label_flip,main,0.35,0,random_excl,0.58175,-0.017000000000000015,0.02837500000000004,-0.5991189427312772,,,39,,,,,
cifar10_dir1_label-flip_fr0.35_g_seed0,cifar10,dir1,label_flip,main,0.35,0,flirds_gate_v1,0.606125,0.00737500000000002,0.02837500000000004,0.2599118942731281,0.7305590584279109,104.0,39,438.0,194.0,0.5570776255707762,93.0,54.0
cifar10_dir1_label-flip_fr0.35_g_seed0,cifar10,dir1,label_flip,main,0.35,0,flirds_gate_v2,0.593625,-0.005125000000000046,0.02837500000000004,-0.1806167400881071,0.6603614964270702,98.0,39,3644.0,1524.0,0.5817782656421515,45.0,19.0
cifar10_dir1_label-flip_fr0.35_g_seed0,cifar10,dir1,label_flip,main,0.35,0,flirds_zgate_v2,0.60875,0.010000000000000009,0.02837500000000004,0.35242290748898664,0.9092055485498108,99.0,39,,,,,
cifar10_dir1_label-flip_fr0.35_g_seed0,cifar10,dir1,label_flip,main,0.35,0,flirds_gatew_v2,0.58325,-0.015499999999999958,0.02837500000000004,-0.5462555066079273,0.5531736023539302,106.0,39,2616.0,1071.0,0.5905963302752294,39.0,18.0
cifar10_dir1_label-flip_fr0.35_g_seed0,cifar10,dir1,label_flip,main,0.35,0,flirds_gatew_v1,0.60125,0.0024999999999999467,0.02837500000000004,0.0881057268722447,0.6788566624632197,89.0,39,356.0,155.0,0.5646067415730337,90.0,51.0
cifar10_dir1_label-flip_fr0.35_g_seed0,cifar10,dir1,label_flip,main,0.35,0,flirds_mult,0.612375,0.013624999999999998,0.02837500000000004,0.4801762114537438,0.6645649432534678,83.0,39,,,,,
