dataset,partition,threat,flip_rate,seed,arm,source,policy,timing,final_acc,delta_acc,recovery,auroc,rounds_to_target,kept,skipped,dedup_shared
cifar10,dir1,clean,,0,t2_csign_flirds,flirds,P5h,retrain,0.632,-0.0068749999999999645,,,75.0,90.0,,False
cifar10,dir1,clean,,0,t2_csign_flirds1st,flirds1st,P5h,retrain,0.638875,0.0,,,,100.0,equals_vanilla,
cifar10,dir1,clean,,0,t2_csign_gtg,gtg,P5h,retrain,0.638625,-0.00024999999999997247,,,67.0,75.0,,False
cifar10,dir1,clean,,0,t2_csign_lossheur,lossheur,P5h,retrain,0.638875,0.0,,,75.0,97.0,,False
cifar10,dir1,clean,,0,t2_csign_shapleyfl,shapleyfl,P5h,retrain,0.6355,-0.003375000000000017,,,71.0,76.0,,False
cifar10,dir1,clean,,0,t2_pw_comfedsv,comfedsv,P5s,retrain,0.634375,-0.0044999999999999485,,,77.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_fedif,fedif,P5s,retrain,0.643125,0.004249999999999976,,,72.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_fedsv,fedsv,P5s,retrain,0.633,-0.005874999999999964,,,77.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_flirds,flirds,P5s,retrain,0.637,-0.00187499999999996,,,80.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_flirds1st,flirds1st,P5s,retrain,0.64275,0.003875000000000073,,,65.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_gtg,gtg,P5s,retrain,0.63425,-0.00462499999999999,,,81.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_lossheur,lossheur,P5s,retrain,0.63825,-0.0006249999999999867,,,76.0,100.0,,False
cifar10,dir1,clean,,0,t2_pw_shapleyfl,shapleyfl,P5s,retrain,0.627625,-0.011249999999999982,,,81.0,100.0,,False
cifar10,dir1,clean,,0,t2_random_k52,,,,0.612625,-0.026249999999999996,,,88.0,52.0,,False
cifar10,dir1,clean,,0,t2_random_k54,,,,0.616375,-0.022499999999999964,,,84.0,54.0,,False
cifar10,dir1,clean,,0,t2_random_k58,,,,0.621625,-0.017249999999999988,,,83.0,58.0,,False
cifar10,dir1,clean,,0,t2_random_k75,,,,0.6275,-0.011375000000000024,,,77.0,75.0,,False
cifar10,dir1,clean,,0,t2_random_k76,,,,0.625625,-0.013249999999999984,,,79.0,76.0,,False
cifar10,dir1,clean,,0,t2_random_k86,,,,0.63975,0.0008750000000000702,,,77.0,86.0,,False
cifar10,dir1,clean,,0,t2_random_k87,,,,0.640625,0.0017500000000000293,,,73.0,87.0,,False
cifar10,dir1,clean,,0,t2_random_k90,,,,0.633375,-0.005499999999999949,,,65.0,90.0,,False
cifar10,dir1,clean,,0,t2_random_k97,,,,0.634125,-0.004749999999999921,,,76.0,97.0,,False
cifar10,dir1,clean,,0,t2_random_k99,,,,0.638,-0.0008749999999999591,,,73.0,99.0,,False
cifar10,dir1,clean,,0,t2_sign_comfedsv,comfedsv,P1,retrain,0.611875,-0.027000000000000024,,,80.0,52.0,,False
cifar10,dir1,clean,,0,t2_sign_fedif,fedif,P1,retrain,0.638125,-0.0007499999999999174,,,76.0,99.0,,True
cifar10,dir1,clean,,0,t2_sign_fedsv,fedsv,P1,retrain,0.619125,-0.019749999999999934,,,82.0,54.0,,False
cifar10,dir1,clean,,0,t2_sign_flirds,flirds,P1,retrain,0.623625,-0.015249999999999986,,,85.0,76.0,,False
cifar10,dir1,clean,,0,t2_sign_flirds1st,flirds1st,P1,retrain,0.638125,-0.0007499999999999174,,,76.0,99.0,,False
cifar10,dir1,clean,,0,t2_sign_gtg,gtg,P1,retrain,0.628375,-0.010499999999999954,,,73.0,58.0,,False
cifar10,dir1,clean,,0,t2_sign_lossheur,lossheur,P1,retrain,0.63025,-0.008624999999999994,,,74.0,87.0,,False
cifar10,dir1,clean,,0,t2_sign_shapleyfl,shapleyfl,P1,retrain,0.613125,-0.02574999999999994,,,72.0,58.0,,False
cifar10,dir1,clean,,0,t2_signw_comfedsv,comfedsv,P2,retrain,0.590625,-0.048250000000000015,,,104.0,52.0,,False
cifar10,dir1,clean,,0,t2_signw_fedif,fedif,P2,retrain,0.63525,-0.0036249999999999893,,,76.0,99.0,,False
cifar10,dir1,clean,,0,t2_signw_fedsv,fedsv,P2,retrain,0.60725,-0.031625000000000014,,,87.0,54.0,,False
cifar10,dir1,clean,,0,t2_signw_flirds,flirds,P2,retrain,0.60175,-0.037124999999999964,,,98.0,76.0,,False
cifar10,dir1,clean,,0,t2_signw_flirds1st,flirds1st,P2,retrain,0.634875,-0.0040000000000000036,,,72.0,99.0,,False
cifar10,dir1,clean,,0,t2_signw_gtg,gtg,P2,retrain,0.607875,-0.030999999999999917,,,80.0,58.0,,False
cifar10,dir1,clean,,0,t2_signw_lossheur,lossheur,P2,retrain,0.628875,-0.010000000000000009,,,80.0,87.0,,False
cifar10,dir1,clean,,0,t2_signw_shapleyfl,shapleyfl,P2,retrain,0.600375,-0.03849999999999998,,,86.0,58.0,,False
cifar10,dir1,clean,,0,vanilla,,,,0.638875,0.0,,,72.0,,,
cifar10,dir1,clean,,1,comfedsv_cgate,comfedsv,P5h,online,0.632625,-0.0010000000000000009,,,72.0,,,
cifar10,dir1,clean,,1,comfedsv_gate_v2,comfedsv,P1,online,0.60075,-0.03287499999999999,,,87.0,,,
cifar10,dir1,clean,,1,comfedsv_gatew_v2,comfedsv,P2,online,0.601,-0.032625000000000015,,,90.0,,,
cifar10,dir1,clean,,1,comfedsv_mult,comfedsv,P3,online,0.632875,-0.0007500000000000284,,,72.0,,,
cifar10,dir1,clean,,1,comfedsv_pweight,comfedsv,P5s,online,0.634375,0.0007500000000000284,,,72.0,,,
cifar10,dir1,clean,,1,comfedsv_zgate_v2,comfedsv,P4,online,0.6425,0.008874999999999966,,,77.0,,,
cifar10,dir1,clean,,1,fedif_cgate,fedif,P5h,online,0.639375,0.005750000000000033,,,74.0,,,
cifar10,dir1,clean,,1,fedif_gate_v2,fedif,P1,online,0.639375,0.005750000000000033,,,71.0,,,
cifar10,dir1,clean,,1,fedif_gatew_v2,fedif,P2,online,0.63425,0.0006249999999999867,,,74.0,,,
cifar10,dir1,clean,,1,fedif_mult,fedif,P3,online,0.64125,0.007624999999999993,,,79.0,,,
cifar10,dir1,clean,,1,fedif_pweight,fedif,P5s,online,0.632625,-0.0010000000000000009,,,71.0,,,
cifar10,dir1,clean,,1,fedif_zgate_v2,fedif,P4,online,0.635375,0.0017500000000000293,,,73.0,,,
cifar10,dir1,clean,,1,fedsv_cgate,fedsv,P5h,online,0.63475,0.0011250000000000426,,,67.0,,,
cifar10,dir1,clean,,1,fedsv_gate_v2,fedsv,P1,online,0.60675,-0.026874999999999982,,,82.0,,,
cifar10,dir1,clean,,1,fedsv_gatew_v2,fedsv,P2,online,0.610125,-0.023499999999999965,,,87.0,,,
cifar10,dir1,clean,,1,fedsv_mult,fedsv,P3,online,0.635875,0.0022499999999999742,,,72.0,,,
cifar10,dir1,clean,,1,fedsv_pweight,fedsv,P5s,online,0.631625,-0.0020000000000000018,,,74.0,,,
cifar10,dir1,clean,,1,fedsv_zgate_v2,fedsv,P4,online,0.647625,0.014000000000000012,,,74.0,,,
cifar10,dir1,clean,,1,flirds1st_cgate,flirds1st,P5h,online,0.639375,0.005750000000000033,,,74.0,,,
cifar10,dir1,clean,,1,flirds1st_gate_v2,flirds1st,P1,online,0.63975,0.006125000000000047,,,71.0,,,
cifar10,dir1,clean,,1,flirds1st_gatew_v2,flirds1st,P2,online,0.6345,0.0008749999999999591,,,74.0,,,
cifar10,dir1,clean,,1,flirds1st_mult,flirds1st,P3,online,0.641,0.00737500000000002,,,72.0,,,
cifar10,dir1,clean,,1,flirds1st_pweight,flirds1st,P5s,online,0.631375,-0.0022499999999999742,,,72.0,,,
cifar10,dir1,clean,,1,flirds1st_zgate_v2,flirds1st,P4,online,0.635125,0.0015000000000000568,,,77.0,,,
cifar10,dir1,clean,,1,flirds_cgate,flirds,P5h,online,0.638375,0.004750000000000032,,,75.0,,,
cifar10,dir1,clean,,1,flirds_gate_v1,flirds,P1v1,online,0.638375,0.004750000000000032,,,74.0,,,
cifar10,dir1,clean,,1,flirds_gate_v2,flirds,P1,online,0.639375,0.005750000000000033,,,73.0,,,
cifar10,dir1,clean,,1,flirds_gatew_v1,,,,0.632125,-0.0014999999999999458,,,74.0,,,
cifar10,dir1,clean,,1,flirds_gatew_v2,flirds,P2,online,0.623625,-0.010000000000000009,,,75.0,,,
cifar10,dir1,clean,,1,flirds_mult,flirds,P3,online,0.639375,0.005750000000000033,,,72.0,,,
cifar10,dir1,clean,,1,flirds_pweight,flirds,P5s,online,0.63875,0.005125000000000046,,,74.0,,,
cifar10,dir1,clean,,1,flirds_zgate_v2,flirds,P4,online,0.642375,0.008750000000000036,,,73.0,,,
cifar10,dir1,clean,,1,gtg_cgate,gtg,P5h,online,0.63875,0.005125000000000046,,,76.0,,,
cifar10,dir1,clean,,1,gtg_gate_v2,gtg,P1,online,0.612,-0.021625000000000005,,,85.0,,,
cifar10,dir1,clean,,1,gtg_gatew_v2,gtg,P2,online,0.604625,-0.029000000000000026,,,83.0,,,
cifar10,dir1,clean,,1,gtg_mult,gtg,P3,online,0.636125,0.0025000000000000577,,,72.0,,,
cifar10,dir1,clean,,1,gtg_pweight,gtg,P5s,online,0.6335,-0.00012500000000004174,,,74.0,,,
cifar10,dir1,clean,,1,gtg_zgate_v2,gtg,P4,online,0.64125,0.007624999999999993,,,72.0,,,
cifar10,dir1,clean,,1,lossheur_cgate,lossheur,P5h,online,0.63925,0.005624999999999991,,,74.0,,,
cifar10,dir1,clean,,1,lossheur_gate_v2,lossheur,P1,online,0.629875,-0.003750000000000031,,,79.0,,,
cifar10,dir1,clean,,1,lossheur_gatew_v2,lossheur,P2,online,0.634375,0.0007500000000000284,,,78.0,,,
cifar10,dir1,clean,,1,lossheur_mult,lossheur,P3,online,0.637375,0.003750000000000031,,,72.0,,,
cifar10,dir1,clean,,1,lossheur_pweight,lossheur,P5s,online,0.6365,0.002874999999999961,,,71.0,,,
cifar10,dir1,clean,,1,lossheur_zgate_v2,lossheur,P4,online,0.644375,0.010750000000000037,,,72.0,,,
cifar10,dir1,clean,,1,observer,,,,0.633625,0.0,,,74.0,,,
cifar10,dir1,clean,,1,shapleyfl_cgate,shapleyfl,P5h,online,0.64025,0.006624999999999992,,,75.0,,,
cifar10,dir1,clean,,1,shapleyfl_gate_v2,shapleyfl,P1,online,0.61,-0.023625000000000007,,,77.0,,,
cifar10,dir1,clean,,1,shapleyfl_gatew_v2,shapleyfl,P2,online,0.603125,-0.03049999999999997,,,89.0,,,
cifar10,dir1,clean,,1,shapleyfl_mult,shapleyfl,P3,online,0.63725,0.0036249999999999893,,,72.0,,,
cifar10,dir1,clean,,1,shapleyfl_pweight,shapleyfl,P5s,online,0.63275,-0.0008749999999999591,,,74.0,,,
cifar10,dir1,clean,,1,shapleyfl_zgate_v2,shapleyfl,P4,online,0.64275,0.00912500000000005,,,72.0,,,
cifar10,dir1,clean,,1,t2_csign_comfedsv,comfedsv,P5h,retrain,0.643375,0.009750000000000036,,,72.0,86.0,,False
cifar10,dir1,clean,,1,t2_csign_fedif,fedif,P5h,retrain,0.633625,0.0,,,,100.0,equals_vanilla,
cifar10,dir1,clean,,1,t2_csign_fedsv,fedsv,P5h,retrain,0.63675,0.0031250000000000444,,,73.0,84.0,,False
cifar10,dir1,clean,,1,t2_csign_flirds,flirds,P5h,retrain,0.63925,0.005624999999999991,,,75.0,90.0,,False
cifar10,dir1,clean,,1,t2_csign_flirds1st,flirds1st,P5h,retrain,0.633625,0.0,,,,100.0,equals_vanilla,
cifar10,dir1,clean,,1,t2_csign_gtg,gtg,P5h,retrain,0.632625,-0.0010000000000000009,,,71.0,85.0,,False
cifar10,dir1,clean,,1,t2_csign_lossheur,lossheur,P5h,retrain,0.638625,0.0050000000000000044,,,74.0,96.0,,False
cifar10,dir1,clean,,1,t2_csign_shapleyfl,shapleyfl,P5h,retrain,0.63675,0.0031250000000000444,,,71.0,78.0,,False
cifar10,dir1,clean,,1,t2_pw_comfedsv,comfedsv,P5s,retrain,0.632375,-0.0012499999999999734,,,74.0,100.0,,False
cifar10,dir1,clean,,1,t2_pw_fedif,fedif,P5s,retrain,0.63325,-0.0003750000000000142,,,74.0,100.0,,False
cifar10,dir1,clean,,1,t2_pw_fedsv,fedsv,P5s,retrain,0.63275,-0.0008749999999999591,,,74.0,100.0,,False
cifar10,dir1,clean,,1,t2_pw_flirds,flirds,P5s,retrain,0.6365,0.002874999999999961,,,74.0,100.0,,False
cifar10,dir1,clean,,1,t2_pw_flirds1st,flirds1st,P5s,retrain,0.630625,-0.0030000000000000027,,,74.0,100.0,,False
cifar10,dir1,clean,,1,t2_pw_gtg,gtg,P5s,retrain,0.63025,-0.003375000000000017,,,74.0,100.0,,False
cifar10,dir1,clean,,1,t2_pw_lossheur,lossheur,P5s,retrain,0.636,0.002375000000000016,,,74.0,100.0,,False
cifar10,dir1,clean,,1,t2_pw_shapleyfl,shapleyfl,P5s,retrain,0.630375,-0.003249999999999975,,,80.0,99.0,,False
cifar10,dir1,clean,,1,t2_random_k58,,,,0.625125,-0.008499999999999952,,,80.0,58.0,,False
cifar10,dir1,clean,,1,t2_random_k63,,,,0.635625,0.0020000000000000018,,,71.0,63.0,,False
cifar10,dir1,clean,,1,t2_random_k64,,,,0.626875,-0.006750000000000034,,,80.0,64.0,,False
cifar10,dir1,clean,,1,t2_random_k65,,,,0.6325,-0.0011250000000000426,,,79.0,65.0,,False
cifar10,dir1,clean,,1,t2_random_k67,,,,0.6365,0.002874999999999961,,,76.0,67.0,,False
cifar10,dir1,clean,,1,t2_random_k78,,,,0.636875,0.003249999999999975,,,77.0,78.0,,False
cifar10,dir1,clean,,1,t2_random_k84,,,,0.627375,-0.006249999999999978,,,73.0,84.0,,False
cifar10,dir1,clean,,1,t2_random_k85,,,,0.631875,-0.0017500000000000293,,,77.0,85.0,,False
cifar10,dir1,clean,,1,t2_random_k86,,,,0.637875,0.004249999999999976,,,76.0,86.0,,False
cifar10,dir1,clean,,1,t2_random_k89,,,,0.635375,0.0017500000000000293,,,75.0,89.0,,False
cifar10,dir1,clean,,1,t2_random_k90,,,,0.63225,-0.001375000000000015,,,73.0,90.0,,False
cifar10,dir1,clean,,1,t2_random_k96,,,,0.634125,0.000500000000000056,,,73.0,96.0,,False
cifar10,dir1,clean,,1,t2_random_k99,,,,0.64125,0.007624999999999993,,,71.0,99.0,,False
cifar10,dir1,clean,,1,t2_sign_comfedsv,comfedsv,P1,retrain,0.636125,0.0025000000000000577,,,72.0,65.0,,False
cifar10,dir1,clean,,1,t2_sign_fedif,fedif,P1,retrain,0.64275,0.00912500000000005,,,71.0,99.0,,False
cifar10,dir1,clean,,1,t2_sign_fedsv,fedsv,P1,retrain,0.624625,-0.009000000000000008,,,76.0,63.0,,False
cifar10,dir1,clean,,1,t2_sign_flirds,flirds,P1,retrain,0.63875,0.005125000000000046,,,74.0,67.0,,False
cifar10,dir1,clean,,1,t2_sign_flirds1st,flirds1st,P1,retrain,0.633625,0.0,,,,100.0,equals_vanilla,
cifar10,dir1,clean,,1,t2_sign_gtg,gtg,P1,retrain,0.634,0.0003750000000000142,,,68.0,58.0,,False
cifar10,dir1,clean,,1,t2_sign_lossheur,lossheur,P1,retrain,0.633875,0.00024999999999997247,,,74.0,89.0,,False
cifar10,dir1,clean,,1,t2_sign_shapleyfl,shapleyfl,P1,retrain,0.635625,0.0020000000000000018,,,71.0,64.0,,False
cifar10,dir1,clean,,1,t2_signw_comfedsv,comfedsv,P2,retrain,0.61825,-0.015375000000000028,,,75.0,65.0,,False
cifar10,dir1,clean,,1,t2_signw_fedif,fedif,P2,retrain,0.629875,-0.003750000000000031,,,74.0,99.0,,False
cifar10,dir1,clean,,1,t2_signw_fedsv,fedsv,P2,retrain,0.613125,-0.020499999999999963,,,76.0,63.0,,False
cifar10,dir1,clean,,1,t2_signw_flirds,flirds,P2,retrain,0.622625,-0.01100000000000001,,,75.0,67.0,,False
cifar10,dir1,clean,,1,t2_signw_flirds1st,flirds1st,P2,retrain,0.63,-0.0036249999999999893,,,74.0,100.0,,False
cifar10,dir1,clean,,1,t2_signw_gtg,gtg,P2,retrain,0.62225,-0.011375000000000024,,,82.0,58.0,,False
cifar10,dir1,clean,,1,t2_signw_lossheur,lossheur,P2,retrain,0.61925,-0.014375000000000027,,,74.0,89.0,,False
cifar10,dir1,clean,,1,t2_signw_shapleyfl,shapleyfl,P2,retrain,0.62575,-0.007874999999999965,,,80.0,64.0,,False
cifar10,dir1,clean,,1,vanilla,,,,0.633625,0.0,,,74.0,,,
cifar10,dir1,clean,,2,comfedsv_cgate,comfedsv,P5h,online,0.62625,-0.017874999999999974,,,70.0,,,
cifar10,dir1,clean,,2,comfedsv_gate_v2,comfedsv,P1,online,0.589625,-0.05449999999999999,,,107.0,,,
cifar10,dir1,clean,,2,comfedsv_gatew_v2,comfedsv,P2,online,0.591,-0.05312499999999998,,,,,,
cifar10,dir1,clean,,2,comfedsv_mult,comfedsv,P3,online,0.639875,-0.004249999999999976,,,73.0,,,
cifar10,dir1,clean,,2,comfedsv_pweight,comfedsv,P5s,online,0.6285,-0.015625,,,75.0,,,
cifar10,dir1,clean,,2,comfedsv_zgate_v2,comfedsv,P4,online,0.643,-0.0011249999999999316,,,70.0,,,
cifar10,dir1,clean,,2,fedif_cgate,fedif,P5h,online,0.63875,-0.005374999999999908,,,75.0,,,
cifar10,dir1,clean,,2,fedif_gate_v2,fedif,P1,online,0.638875,-0.005249999999999977,,,71.0,,,
cifar10,dir1,clean,,2,fedif_gatew_v2,fedif,P2,online,0.63625,-0.007874999999999965,,,75.0,,,
cifar10,dir1,clean,,2,fedif_mult,fedif,P3,online,0.640625,-0.0034999999999999476,,,71.0,,,
cifar10,dir1,clean,,2,fedif_pweight,fedif,P5s,online,0.64325,-0.0008749999999999591,,,71.0,,,
cifar10,dir1,clean,,2,fedif_zgate_v2,fedif,P4,online,0.629375,-0.01474999999999993,,,75.0,,,
cifar10,dir1,clean,,2,fedsv_cgate,fedsv,P5h,online,0.625875,-0.01824999999999999,,,68.0,,,
cifar10,dir1,clean,,2,fedsv_gate_v2,fedsv,P1,online,0.596,-0.04812499999999997,,,101.0,,,
cifar10,dir1,clean,,2,fedsv_gatew_v2,fedsv,P2,online,0.596,-0.04812499999999997,,,116.0,,,
cifar10,dir1,clean,,2,fedsv_mult,fedsv,P3,online,0.64,-0.004124999999999934,,,72.0,,,
cifar10,dir1,clean,,2,fedsv_pweight,fedsv,P5s,online,0.62975,-0.014374999999999916,,,75.0,,,
cifar10,dir1,clean,,2,fedsv_zgate_v2,fedsv,P4,online,0.63875,-0.005374999999999908,,,74.0,,,
cifar10,dir1,clean,,2,flirds1st_cgate,flirds1st,P5h,online,0.63875,-0.005374999999999908,,,75.0,,,
cifar10,dir1,clean,,2,flirds1st_gate_v2,flirds1st,P1,online,0.639,-0.005124999999999935,,,75.0,,,
cifar10,dir1,clean,,2,flirds1st_gatew_v2,flirds1st,P2,online,0.63775,-0.0063749999999999085,,,75.0,,,
cifar10,dir1,clean,,2,flirds1st_mult,flirds1st,P3,online,0.639625,-0.0044999999999999485,,,71.0,,,
cifar10,dir1,clean,,2,flirds1st_pweight,flirds1st,P5s,online,0.643625,-0.0004999999999999449,,,71.0,,,
cifar10,dir1,clean,,2,flirds1st_zgate_v2,flirds1st,P4,online,0.628875,-0.015249999999999986,,,78.0,,,
cifar10,dir1,clean,,2,flirds_cgate,flirds,P5h,online,0.635125,-0.008999999999999897,,,75.0,,,
cifar10,dir1,clean,,2,flirds_gate_v1,flirds,P1v1,online,0.623875,-0.02024999999999999,,,73.0,,,
cifar10,dir1,clean,,2,flirds_gate_v2,flirds,P1,online,0.6305,-0.013624999999999998,,,74.0,,,
cifar10,dir1,clean,,2,flirds_gatew_v1,,,,0.585375,-0.05874999999999997,,,82.0,,,
cifar10,dir1,clean,,2,flirds_gatew_v2,flirds,P2,online,0.613875,-0.03025,,,82.0,,,
cifar10,dir1,clean,,2,flirds_mult,flirds,P3,online,0.644875,0.0007500000000000284,,,71.0,,,
cifar10,dir1,clean,,2,flirds_pweight,flirds,P5s,online,0.635375,-0.008749999999999925,,,74.0,,,
cifar10,dir1,clean,,2,flirds_zgate_v2,flirds,P4,online,0.625375,-0.018749999999999933,,,71.0,,,
cifar10,dir1,clean,,2,gtg_cgate,gtg,P5h,online,0.627875,-0.016249999999999987,,,75.0,,,
cifar10,dir1,clean,,2,gtg_gate_v2,gtg,P1,online,0.59725,-0.046875,,,99.0,,,
cifar10,dir1,clean,,2,gtg_gatew_v2,gtg,P2,online,0.599375,-0.044749999999999956,,,103.0,,,
cifar10,dir1,clean,,2,gtg_mult,gtg,P3,online,0.6385,-0.005624999999999991,,,72.0,,,
cifar10,dir1,clean,,2,gtg_pweight,gtg,P5s,online,0.630875,-0.013249999999999984,,,79.0,,,
cifar10,dir1,clean,,2,gtg_zgate_v2,gtg,P4,online,0.6365,-0.007624999999999993,,,75.0,,,
